Title,Authors,Publish Date,Keywords,Abstract
"从低位跟随到高位引领：行业引领型企业组织身份形成过程研究","林海芬 刘相彤 苏敬勤","2024-09-05","跟随与引领;, 行业引领型企业;, 引领型组织身份形成;, 单案例研究;","构建新发展格局，塑造高质量发展新优势要求中国企业完成从跟随到引领的历史性跃迁，破除隐性身份屏障，蜕变成为行业引领者并构建起与高位引领结果相匹配的引领型组织身份。但什么是引领型组织身份？它是如何形成的？对此，以始于低位跟随并嵌入在战略性基础产业中钢铁产业的青山实业为样本开展单案例研究，系统探索引领型身份的结构特征与形成机理。研究发现：（1）引领型身份拥有三层级结构，自内向外依次包含围绕身份基因的引领性理念层、领先能力与独特形象构成的卓越性内涵层和体现强内部偏好与强外部认同感知效果的优势性感知层。（2）引领型身份形成经历进取型身份构建的单点突破阶段、从进取型身份向先动型身份演进的多发解锁阶段以及最终向引领型身份演进的系统凝结阶段3个阶段，整个过程涉及1次身份构建和2次迭代跃迁，其中身份基因保持稳定。（3）各阶段差异性身份的产生遵循“理念塑造→内涵演绎→认同封装”的过程逻辑，体现由理念层撬动并逐层铺开的辐射涟漪效应。（4）引领型身份形成经历的2次迭代跃迁既是各结构层联动演化的结果，也是各结构层分别在不同刺激与烙印结果、差异性战略行为和差异性认知实践的驱动下实现升级或跃迁的产物。本文通过揭示引..."
"共享制造生态系统的协同治理研究：基于问题解决视角","高杰1,2 王燕萍1 谢排科1 魏泽龙1","2024-09-05","问题解决视角;, 生态系统;, 共享制造;, 内部市场化;, 层级制;","在数字化时代，构建“平台+小微”的共享制造生态系统是制造企业转型的典型路径。然而，共享制造面临着“如何设计治理模式以促进成员企业实现共创共享”的挑战。基于问题解决视角，本研究采用纵向案例跟踪法探讨共享制造的治理模式，研究发现：（1）共享制造的治理模式超越了单一的层级制或市场治理，需要依据解决问题所涉及的互补知识集来确定治理的主体与客体，并根据问题的可分解性来选择治理模式。对于创新性高的不可分解的产品设计问题，适合采用基于共识的层级制治理模式，通过成员间的知识共享与共同协商搜寻高质量的解决方案；对于半可分解的质量检测问题，适合采用基于权威的层级制治理模式，平台企业通过集中决策提高搜寻解决方案过程中的知识交换的效率；对于可分解的众多零件的生产问题，适合采用内部市场化治理模式，通过自由竞争和价格机制来提高解决问题的效率。（2）根据不同活动的互补性，治理模式之间还存在互动机制：基于共识的层级制和基于权威的层级制有助于平台分解复杂问题以促进产品模块化，为内部市场化提供基础；内部市场化则有利于小微企业内部采用基于共识的层级制以提高员工技能。（3）共享制造有效融合了层级制的复杂问题分解能力和内部市场..."
"家族权利束锁定与家族企业创新——基于结构性工具控股家族企业的证据","黎文靖 彭远怀","2024-09-05","权利束锁定;, 结构性工具;, 家族企业创新;, 家族企业三角理论;","基于保护、管理以及传承等目的，控股家族为锁定愈发分散的家族权利束日益倾向利用结构性工具控股家族企业。打开家族企业治理黑箱，分析家族内部权利配置方式对家族企业经营决策的影响具有重要理论价值和现实意义。匹配家族企业的多元目标体系，本文引入家族企业三角理论分析结构性工具对家族企业创新行为的影响，以提供理解家族企业治理实践的新视角。研究发现，结构性工具显著促进了家族企业创新，而融资约束缓解和风险容忍增强是重要作用路径；异质性分析发现，创新促进效应在家族管理涉入较深、代际传承之后以及资产规模较小的家族企业中更为显著；拓展分析发现，创新促进效应主要体现在高质量创新而非低质量创新；此外，利用结构性工具控股还能有效抑制家族所有权和控制权的降低。本文的研究沟通理论前沿与中国家族企业治理实务工作，为家族企业治理与传承相关政策的制定提供了重要理论与经验证据支持。"
"大型复杂产品系统自主创新的模式与机制——基于“华龙一号”的探索性案例研究","许晖1 李阳1 王冶2 韩连胜3","2024-09-05","华龙一号;, 复杂产品系统;, 知识创造;, 技术创新;, 自主可控;","面对多项核电关键核心技术被封锁与国外超大核安全事故发生的双重困境，我国以完全自主、安全可控作为顶层目标，研发出具有完全自主知识产权的三代压水堆核电创新成果——“华龙一号”（HPR1000）。作为一项大型复杂产品系统，“华龙一号”走出了一条区别于“中国路”“中国车”等其他大国重器、大国工程自主创新的道路，为有效揭示大型复杂产品系统自主创新机制提供了典型案例。基于此，本文系统探索了“华龙一号”自主创新的模式、路径以及内在理论机制等。研究发现：（1）“华龙一号”自主创新存在从“并行”到“聚合”的演进模式，并且可以进一步提炼出内生式创造（从0到1突破）、外生式学习（从1到N迭代）、聚变式放大（N×N）3种内在机制；（2）基于实践场域的问题牵引，大型复杂产品系统自主创新过程中知识创造与技术创新存在实践行为的协同互嵌、理论逻辑的累积因果螺旋关系；不同机制下，“知识创造—技术创新”之间存在螺旋起点、方向与边界等维度的差异；（3）大型复杂产品系统自主创新过程中涉及的知识和关键核心技术以集合形态呈现，依据来源可将其概括为原创型、引进型与融创型3类，并且知识集与技术集之间通过差异化的转换与萃取实现双向桥接..."
"掌握研究工具,成就学术卓越——《管理世界》大讲堂之方法课","","2024-08-05","","<正>来吧,青年学者们,加入我们的学术写作之旅!您将站在学术研究的前沿,掌握解读复杂社会现象的工具。管理世界杂志社致力于引领学者们在学术舞台上发声,支持并推动中国故事的学术化传播。在学术的浩瀚海洋中,正确的方法论是指引方向的灯塔。继今年推出“研究方法”专栏后,我们正式推出系列研究方法培训课程“方法课”。现在,我们向您发出邀请,加入我们的线上方法课培训,全面提升学术研究素养!"
"后发企业如何在“卡脖子”技术领域构建自主创新能力？——一个设计仿真软件中小企业的纵向案例研究","李连翔 田志龙 杨玲 贺远琼","2024-08-05","“卡脖子”技术;, 自主创新能力;, 一次创新;, 后发中小企业;, 国家创新体系;","“卡脖子”技术领域的后发企业构建自主创新能力，对我国从制造大国迈向制造强国具有重要的现实意义。本文对设计仿真软件领域一次创新型后发中小企业Y展开纵向案例研究后发现：后发中小企业在“卡脖子”风险初显时准确选择新技术路线，并从基础研究开始自主开发新产品和产业化替代。其依托国家创新体系科技项目获取项目资金、吸收专家意见、引入价值链伙伴、匹配客户场景、吸收客户建议，通过在空间维度和时间维度的能力要素聚集与迭代，有效克服“卡脖子”技术领域的技术台阶、市场鸿沟和运营复杂性等创新障碍，从而构建自主创新能力。本文构建的理论模型是对自主创新能力理论的深化与补充，为推动后发中小企业探索自主创新道路提供有益参考。"
"大语言模型、文本情绪与金融市场","姜富伟1,2 刘雨旻3 孟令超4","2024-08-05","文本情绪;, 深度学习;, 大语言模型;, 资产定价;","“人工智能+”行动是发展新质生产力的重要途径，其在金融领域的应用有助于金融强国建设。本文创新性地融合结构化金融市场数据和非结构化金融文本大数据，并结合中国特色金融市场的独特特征，训练了一个更适用于我国金融领域的中文金融大语言模型，并开展金融市场情绪测度和资产价格风险预测。研究发现，与传统字典法相比，使用中文金融大语言模型构建的大模型情绪在金融市场回报预测方面表现显著更佳。大模型情绪对很多宏观经济变量也有显著预测能力，能够捕捉非理性情绪冲击对宏观经济基本面的影响。大模型情绪在经济下行和极端风险事件期间的预测效果更强，契合了金融理论中非理性情绪对金融市场和宏观经济会产生非对称与非线性影响的结果。综上，本研究展现了“人工智能+”行动在我国金融领域应用落地的潜在技术路径和理论逻辑。"
"“三重压力”叠加冲击与“双支柱”调控策略研究","李力","2024-08-05","三重压力;, 双支柱调控;, 诊断式预期;, Proxy-SVAR模型;, DSGE模型;","近年来，需求收缩、供给冲击、预期转弱“三重压力”成为推动我国经济回升向好需要克服的重要挑战。本文首先在Proxy-SVAR模型中结合符号约束和工具变量同时识别出需求冲击、供给冲击和预期冲击，进一步构建包含金融摩擦和诊断式预期的DSGE模型对三重冲击进行理论建模。研究发现：需求收缩、供给冲击和预期转弱均会对我国实体经济带来紧缩性压力，且三重不利冲击的相互叠加会形成反馈效应。不利供给变动会进一步放大预期转弱对于产出的不利影响，而预期转弱则会强化需求收缩对产出的紧缩效应。诊断式预期形成机制下经济主体预期的内生变化会进一步加剧三重不利冲击导致的实体经济和信贷市场的波动。基于DSGE模型的机制分析表明：预期转弱引发的资产价格下跌，会加剧不利需求冲击对实体部门的紧缩效应；而不利供给冲击带来的劳动时长与企业R&D投资规模的下降，则会进一步加大预期转弱对实体经济活动的不利影响。政策福利分析表明：逆周期的宏观审慎政策应该搭配审慎型货币政策，且审慎型货币政策应重点关注资产价格，而宏观审慎政策则应主要盯住杠杆率和信贷等变量，同时二者还应根据不同的冲击类型瞄准风险溢价等其他合意指标。"
"区块链赋能供应链价值创造的机理与策略——质量信息不对称下的经济学分析","李秋香1 马草原1 谢磊2 王宗宪3 毛照昉4","2024-08-05","区块链;, 价值创造;, 信号传递;, 策略选择;, 福利转移;","为充分发挥区块链的溯源作用与信息作用，本文基于信息经济学，构建质量信号传递理论模型，通过比较无区块链采用、制造商主导区块链采用与零售商主导区块链采用3种情形，揭示出质量信息不对称情况下制造商或零售商主导区块链采用时机及均衡状态下的最优策略选择，并从供应链整体福利视角辨别谁主导区块链采用更能创造价值。研究发现：在制造商与零售商主导区块链均能获得收益时，制造商主导更能发挥区块链的优势作用，增加供应链整体福利，实现制造商、零售商及消费者三方共赢。重要的是，区块链的采用存在区块链收益外溢及成本高所造成的投资激励不足问题，将导致区块链采用失败，无法实现区块链价值创造。本文提出消费者福利转移及政府补贴两种机制，以使其转化成最优均衡状态。最后，本文建议通过综合施策有效应对供应链内部利益竞争引起的采用困境，提升区块链的价值创造能力。"
"人与自然何以和谐共生：地理要素视角下的环境规制与环境福利绩效","邵帅1 葛力铭2,3 朱佳玲4","2024-08-05","环境规制;, 地理要素;, 环境福利绩效;, 人与自然和谐共生;, 混合网络数据包络分析模型;","“中国式现代化”对经济发展绿色化和居民福利增益化提出了明确要求。如何在尊重、顺应和保护自然的前提下充分释放环境规制的制度红利，从而有效促进以稳增长、保环境和增福祉为主要表征的环境福利绩效改善，是能否实现人与自然和谐共生的现代化的关键所在。本文首先基于地理要素这一独特视角，就环境规制对环境福利绩效的潜在影响进行了规范阐释；进而，采用混合网络数据包络分析模型对环境福利绩效进行了准确测算，并通过对政府工作报告进行文本分词处理而对各地区的环境规制强度进行了有效度量；最后，综合采用固定效应模型、调节效应模型和工具变量法等多种计量分析方法，实证考察了环境规制对环境福利绩效的影响及其作用机制。研究发现，环境规制显著促增了环境福利绩效，这一结论在进行一系列稳健性检验后依然成立。机制分析表明，地理气候条件中的平均海拔、平均地形起伏度和日照时数在环境规制对环境福利绩效的影响中表现出负向调节作用，而平均气温和降水量在环境规制对环境福利绩效的影响中表现出正向调节作用；环境规制对环境福利绩效的促增效应在东部地区、南方地区、胡焕庸线东南侧地区、较大城市与非资源型城市表现得更加明显；环境规制可以通过推动经济增长、促..."
"中国基层环境治理中的“链式协同”——基于S市工业园区的一项案例研究","武龙1 阎波1 朱珉莹2 王小虎3","2024-08-05","基层地方政府;, 协同治理;, 伙伴关系;, 责任链条;","2024年国务院《政府工作报告》明确提出要“充分调动各方面保护和改善生态环境的积极性”，然而在中国情境下如何实现政府与非政府主体之间的协同治理仍是现阶段环境治理的棘手难题。本文通过揭示协同治理理论中政府和非政府主体间“伙伴关系”的前提假设，以及补充中国政府治理的“责任链条”特征，提出一个“链式协同”的概念框架与解释思路。结合S市工业园区“环境管理合作伙伴计划”案例，本文提出“链式协同”是基层地方政府主导下，基层地方政府部门与企业、社会组织等非政府主体基于自愿平等的“伙伴关系”与紧密衔接的“责任链条”所实现的一种政府与非政府主体协同治理形式，具体呈现为建立协同治理“朋友圈”和用好问责机制“组合拳”等过程环节。相较于以往协同治理形式，本文提出的“链式协同”不仅强调政府主导对于实现协同治理的关键作用，而且突出中国情境下非政府主体参与协同治理的实现方式，从而为理解当前基层环境治理领域的“中国式现代化”提供了新的分析视角。"
"同业市场波动、银行信贷与企业长期投资","金钊1 谢晨裕2 王曦1,3","2024-08-05","同业市场波动;, 银行信贷;, 企业长期投资;, 市场结构;","健康稳定的同业市场对我国经济复苏具有重要的作用，我国特有的同业市场特征并不能完全套用欧美国家的研究结论。本文运用我国银行和企业的微观数据，根据同业市场改革时间点，分段研究发现：（1）同业市场波动对银行信贷和企业投资的影响在不同时期表现不一致；（2）在同业市场波动影响银行信贷决策的过程中，同业风险敞口和同业负债发挥了特殊作用；（3）在同业市场波动通过信贷传导至企业长期投资的过程中，企业的资产与债务结构是重要影响因素；（4）同业业务创新对银行信贷的抑制作用主要体现在资产端；（5）同业市场波动作用的传导具有异质性，资产负债表弱的银行和企业对同业市场波动的反应更大；（6）同业市场波动还会降低企业绩效与投资效率，加大企业生存风险，阻碍其可持续发展。本文构建了统一的研究框架检验中国特色同业市场对实体经济的影响，有助于深入理解我国银行信贷发放与企业长期投资行为；为优化同业市场管理与健全同业市场结构提供有益参考。"
"组合式财税政策何以有效推动中小企业科技成果转化？","詹新宇 于明哲","2024-08-05","组合式财税政策;, 中小企业科技成果转化;, 税收减免;, 财政补贴;, 政府采购;","量大面广的中小企业是我国科技成果转化的生力军。如何发挥有为政府作用、打好财税政策组合拳，推动中小企业突破“用不起”“不敢用”“用不好”的三重困境，是当前强化企业科技创新主体地位、提升国家创新体系整体效能的重要抓手。本文在运用启发式模型进行理论分析的基础上，基于2015～2019年中关村科技园微观企业数据库，实证研究税收减免、财政补贴和政府采购等单一财税政策及其不同形式的财税政策组合对中小企业科技成果转化的影响及其内在机制。结果表明，财税政策的不同组合方式及其不同实施次序，对中小企业科技成果转化产生了重要影响：多种财税政策构成的“减税—补贴”“减税—采购”“补贴—采购”及“减税—补贴—采购”等组合式财税政策具有显著的协同效应；“先供给侧减税/补贴、后需求侧采购”政策组合的推动作用比“先需求侧采购、后供给侧减税/补贴”或“供给侧减税/补贴与需求侧采购同时实施”政策组合更大。在进行异质性分析和影响机制探讨的基础上，论文还提出了优化财税政策、有效推动中小企业科技成果转化的政策启示。"
"数字风险治理：研究脉络、理论框架及未来展望","范柏乃1 盛中华2","2024-08-05","数字风险;, 风险治理;, 研究脉络;, 理论框架;, 未来展望;","颠覆性数字技术正成为重塑世界产业体系的新质生产力。这场全球数字革命在带来历史新机遇的同时，也引发一系列数字风险与挑战。数字风险治理作为研究风险发生规律和风险控制技术的新兴科学，受到了越来越多的关注。基于69本国内外跨学科顶尖期刊、6大中西智库及科研机构的1114篇文献，结合VOSviewer知识图谱分析，将数字风险治理研究划分为孕育起步、成长探索、快速发展和迭代升级4个阶段。采用动态过程视角，构建“数字风险识别—数字风险分析—数字风险评估—数字风险处置—数字风险预防”的理论框架。其中，数字风险识别研究是整个风险治理的逻辑起点，并从个体、组织、国家等3个维度进行数字风险溯因分析。在此基础上，通过数字风险评估研究，研判风险发生的概率及大小，界定风险等级排序。根据风险等级分布，进行数字风险处置或风险预防。运用CiteSpace突变词分析，提炼前沿热点问题，重点从关注人工智能与数字基础设施风险、开展跨层风险分析、强化数据流动安全审计、引导数字敏捷治理、深化供应链网络安全投资等方面，提出未来展望。本研究基于数字技术视角和流行病学模型识别数字风险的内涵特征，构建结构化、系统化的理论框架以增进学术对..."
"科创企业创新架构的设计逻辑与演进过程——来自“SN”的探索性案例研究","罗瑾琏1 王象路1 程国萍1 钟竞1 耿新2","2024-07-21 14:41","创新架构;, 管理者认知;, 战略性意义建构;, 赋能—协同机制;, 科创企业;","本文采用纵向单案例研究方法，通过探析科创板上市SN公司突破高精度北斗/GNSS技术，并将创新成果转为规模化市场应用的创业历程，解构了科创企业创新架构的设计逻辑与演进过程。研究发现：（1）科创企业创新架构的设计逻辑是从管理者认知上升到战略性意义建构，进而构建创新架构的认知与行动过程：在初创期，科创企业管理者在面临导航技术封锁时形成技术自主型认知，通过自主创新的战略性意义建构，构建创新单元紧密耦合、董事长嵌入的铅球态创新架构；在发展期，科创企业管理者在面临北斗产业竞争时形成技术孵化型认知，通过技术—市场双元的战略性意义建构，构建探索—利用创新单元结构分离、董事长牵引的哑铃态创新架构。（2）以董事长、总经理共同领导而形成的创新赋能—协同机制是科创企业创新架构产生创新效应的关键：在初创期董事长行动赋能与总经理要素协同的作用下，科创企业以铅球态创新架构实现技术突破；在发展期董事长认知赋能与总经理文化协同的作用下，科创企业以哑铃态创新架构实现技术升级与技术转化。（3）科创企业经历内部单元聚合、关键资源导入以及运作机制更新，实现由铅球态向哑铃态创新架构的演进。本文研究发现不仅揭示了科创企业创新架构的..."
"宁波大学商学院简介","","2024-07-05","","<正>宁波大学商学院创建于1986年,是宁波大学规模最大、发展最迅速的学科性学院。38年来,学院秉承“厚德笃行,弘商致远”的院训,创造商学新知,培养复合型创新型人才,为国家和地方经济的发展做贡献。学院现有专任教师157人,其中教授35人,副教授58人,获国家级和省部级人才称号的教师21人,具有博士学位的教师125人。学院在校本科生2224人,在校硕士、博士研究生1181人。"
